sample: 232, mc_sample: 1, mean reward: -20.922, std reward: 0.0, kl: 47740.0
sample: 233, mc_sample: 1, mean reward: -38.111, std reward: 0.0, kl: 47740.0
sample: 234, mc_sample: 1, mean reward: -38.123, std reward: 0.0, kl: 47740.0
sample: 235, mc_sample: 1, mean reward: -32.47, std reward: 0.0, kl: 47740.0
sample: 236, mc_sample: 1, mean reward: -15.123, std reward: 0.0, kl: 47740.0
sample: 237, mc_sample: 1, mean reward: -36.454, std reward: 0.0, kl: 47740.0
sample: 238, mc_sample: 1, mean reward: -34.794, std reward: 0.0, kl: 47740.0
sample: 239, mc_sample: 1, mean reward: -12.659, std reward: 0.0, kl: 47740.0
sample: 240, mc_sample: 1, mean reward: -33.699, std reward: 0.0, kl: 47740.0
sample: 241, mc_sample: 1, mean reward: -44.458, std reward: 0.0, kl: 47740.0
sample: 242, mc_sample: 1, mean reward: -20.532, std reward: 0.0, kl: 47740.0
sample: 243, mc_sample: 1, mean reward: -18.703, std reward: 0.0, kl: 47740.0
sample: 244, mc_sample: 1, mean reward: -28.693, std reward: 0.0, kl: 47740.0
sample: 245, mc_sample: 1, mean reward: -13.111, std reward: 0.0, kl: 47740.0
sample: 246, mc_sample: 1, mean reward: -15.586, std reward: 0.0, kl: 47740.0
sample: 247, mc_sample: 1, mean reward: -86.354, std reward: 0.0, kl: 47740.0
sample: 248, mc_sample: 1, mean reward: -34.787, std reward: 0.0, kl: 47740.0
sample: 249, mc_sample: 1, mean reward: -18.092, std reward: 0.0, kl: 47740.0
sample: 250, mc_sample: 1, mean reward: -16.104, std reward: 0.0, kl: 47740.0
sample: 251, mc_sample: 1, mean reward: -33.227, std reward: 0.0, kl: 47740.0
sample: 252, mc_sample: 1, mean reward: -17.007, std reward: 0.0, kl: 47740.0
sample: 253, mc_sample: 1, mean reward: -80.248, std reward: 0.0, kl: 47740.0
sample: 254, mc_sample: 1, mean reward: -66.768, std reward: 0.0, kl: 47740.0
sample: 255, mc_sample: 1, mean reward: -43.315, std reward: 0.0, kl: 47740.0
sample: 256, mc_sample: 1, mean reward: -35.722, std reward: 0.0, kl: 47740.0
sample: 257, mc_sample: 1, mean reward: -33.378, std reward: 0.0, kl: 47740.0
sample: 258, mc_sample: 1, mean reward: -25.829, std reward: 0.0, kl: 47740.0
sample: 259, mc_sample: 1, mean reward: -40.047, std reward: 0.0, kl: 47740.0
sample: 260, mc_sample: 1, mean reward: -82.024, std reward: 0.0, kl: 47740.0
sample: 261, mc_sample: 1, mean reward: -33.832, std reward: 0.0, kl: 47740.0
sample: 262, mc_sample: 1, mean reward: -11.904, std reward: 0.0, kl: 47740.0
sample: 263, mc_sample: 1, mean reward: -15.323, std reward: 0.0, kl: 47740.0
sample: 264, mc_sample: 1, mean reward: -24.383, std reward: 0.0, kl: 47740.0
sample: 265, mc_sample: 1, mean reward: -19.312, std reward: 0.0, kl: 47740.0
sample: 266, mc_sample: 1, mean reward: -26.134, std reward: 0.0, kl: 47739.99609375
sample: 267, mc_sample: 1, mean reward: -77.663, std reward: 0.0, kl: 47739.99609375
sample: 268, mc_sample: 1, mean reward: -13.911, std reward: 0.0, kl: 47739.99609375
sample: 269, mc_sample: 1, mean reward: -41.91, std reward: 0.0, kl: 47739.99609375
sample: 270, mc_sample: 1, mean reward: -43.646, std reward: 0.0, kl: 47739.99609375
sample: 271, mc_sample: 1, mean reward: -92.591, std reward: 0.0, kl: 47740.0
sample: 272, mc_sample: 1, mean reward: -38.502, std reward: 0.0, kl: 47740.0
sample: 273, mc_sample: 1, mean reward: -19.565, std reward: 0.0, kl: 47740.0
sample: 274, mc_sample: 1, mean reward: -40.267, std reward: 0.0, kl: 47740.0
sample: 275, mc_sample: 1, mean reward: -71.853, std reward: 0.0, kl: 47740.0
sample: 276, mc_sample: 1, mean reward: -13.869, std reward: 0.0, kl: 47739.99609375
sample: 277, mc_sample: 1, mean reward: -64.044, std reward: 0.0, kl: 47739.99609375
sample: 278, mc_sample: 1, mean reward: -14.071, std reward: 0.0, kl: 47739.99609375
sample: 279, mc_sample: 1, mean reward: -31.286, std reward: 0.0, kl: 47739.99609375
sample: 280, mc_sample: 1, mean reward: -40.451, std reward: 0.0, kl: 47739.99609375
sample: 281, mc_sample: 1, mean reward: -35.97, std reward: 0.0, kl: 47740.0
sample: 282, mc_sample: 1, mean reward: -30.091, std reward: 0.0, kl: 47740.0
sample: 283, mc_sample: 1, mean reward: -8.846, std reward: 0.0, kl: 47740.0
sample: 284, mc_sample: 1, mean reward: -88.877, std reward: 0.0, kl: 47740.0
sample: 285, mc_sample: 1, mean reward: -38.031, std reward: 0.0, kl: 47740.0
sample: 286, mc_sample: 1, mean reward: -40.874, std reward: 0.0, kl: 47740.0
sample: 287, mc_sample: 1, mean reward: -14.438, std reward: 0.0, kl: 47740.0
sample: 288, mc_sample: 1, mean reward: -14.404, std reward: 0.0, kl: 47740.0
sample: 289, mc_sample: 1, mean reward: -33.39, std reward: 0.0, kl: 47740.0
sample: 290, mc_sample: 1, mean reward: -56.181, std reward: 0.0, kl: 47740.0
sample: 291, mc_sample: 1, mean reward: -22.631, std reward: 0.0, kl: 47740.0
sample: 292, mc_sample: 1, mean reward: -17.276, std reward: 0.0, kl: 47740.0
sample: 293, mc_sample: 1, mean reward: -20.133, std reward: 0.0, kl: 47740.0
sample: 294, mc_sample: 1, mean reward: -18.173, std reward: 0.0, kl: 47740.0
sample: 295, mc_sample: 1, mean reward: -27.573, std reward: 0.0, kl: 47740.0
sample: 296, mc_sample: 1, mean reward: -42.998, std reward: 0.0, kl: 47740.0
sample: 297, mc_sample: 1, mean reward: -17.002, std reward: 0.0, kl: 47740.0
sample: 298, mc_sample: 1, mean reward: -14.386, std reward: 0.0, kl: 47740.0
sample: 299, mc_sample: 1, mean reward: -16.338, std reward: 0.0, kl: 47740.0
sample: 300, mc_sample: 1, mean reward: -15.497, std reward: 0.0, kl: 47740.0
sample: 301, mc_sample: 1, mean reward: -9.284, std reward: 0.0, kl: 47740.0
sample: 302, mc_sample: 1, mean reward: -21.935, std reward: 0.0, kl: 47740.0
sample: 303, mc_sample: 1, mean reward: -62.464, std reward: 0.0, kl: 47740.0
sample: 304, mc_sample: 1, mean reward: -85.842, std reward: 0.0, kl: 47740.0
sample: 305, mc_sample: 1, mean reward: -36.716, std reward: 0.0, kl: 47740.0
sample: 306, mc_sample: 1, mean reward: -14.298, std reward: 0.0, kl: 47740.0
sample: 307, mc_sample: 1, mean reward: -44.794, std reward: 0.0, kl: 47740.0
sample: 308, mc_sample: 1, mean reward: -17.089, std reward: 0.0, kl: 47740.0
sample: 309, mc_sample: 1, mean reward: -13.579, std reward: 0.0, kl: 47740.0
sample: 310, mc_sample: 1, mean reward: -59.893, std reward: 0.0, kl: 47740.0
sample: 311, mc_sample: 1, mean reward: -84.907, std reward: 0.0, kl: 47740.0
sample: 312, mc_sample: 1, mean reward: -10.56, std reward: 0.0, kl: 47740.0
sample: 313, mc_sample: 1, mean reward: -17.63, std reward: 0.0, kl: 47740.0
sample: 314, mc_sample: 1, mean reward: -42.208, std reward: 0.0, kl: 47740.0
sample: 315, mc_sample: 1, mean reward: -35.403, std reward: 0.0, kl: 47740.0
sample: 316, mc_sample: 1, mean reward: -6.085, std reward: 0.0, kl: 47740.0
sample: 317, mc_sample: 1, mean reward: -62.821, std reward: 0.0, kl: 47740.0
sample: 318, mc_sample: 1, mean reward: -15.642, std reward: 0.0, kl: 47740.0
sample: 319, mc_sample: 1, mean reward: -89.027, std reward: 0.0, kl: 47740.0
sample: 320, mc_sample: 1, mean reward: -36.125, std reward: 0.0, kl: 47740.0
sample: 321, mc_sample: 1, mean reward: -11.423, std reward: 0.0, kl: 47740.0
sample: 322, mc_sample: 1, mean reward: -35.698, std reward: 0.0, kl: 47740.0
